SemiMajor Axis,Inclination,Number of Sats,Planes,Spacing Factor,COV Wertz,COV Wertz w/ 35 degree elevation angle,COV from propagation,DeltaV/day [km/s^2/day],Inc Maintenance,RAAN Maintenance,a and ecc Maintenance
25500,55,18,3,2,1.67736,0.686878979,1.6778,0.019512703,0.008984623,0.000890197,0.009637882
25500,55,20,4,2,1.863733333,0.763198866,1.8606,0.022053334,0.010739138,0.003959725,0.007354471
25500,55,15,5,2,1.3978,0.572399149,1.3972,0.022256403,0.011047813,0.003730438,0.007478152
25500,55,18,6,2,1.67736,0.686878979,1.6788,0.022134067,0.008963741,0.004794455,0.008375871
25500,55,21,7,2,1.95692,0.801358809,1.9578,0.025406178,0.012490108,0.00475214,0.00816393
25500,55,24,8,2,2.23648,0.915838639,2.234,0.023095131,0.010777924,0.004969111,0.007348096
25500,55,18,9,2,1.67736,0.686878979,1.6744,0.022676274,0.010863273,0.005027057,0.006785944
25500,55,20,10,2,1.863733333,0.763198866,1.8658,0.020941318,0.010545861,0.004878461,0.005516996
28000,55,22,2,2,2.06349,0.848163343,2.0644,0.026112787,0.007600639,0.001042391,0.017469756
28000,55,18,3,2,1.68831,0.693951826,1.6908,0.024364623,0.011669154,0.000969803,0.011725666
28000,55,20,4,2,1.8759,0.771057585,1.8784,0.025407838,0.012680564,0.004134648,0.008592626
28000,55,15,5,2,1.406925,0.578293188,1.408,0.025081312,0.012818523,0.003998604,0.008264184
28000,55,18,6,2,1.68831,0.693951826,1.69,0.027886022,0.011983662,0.005403299,0.010499061
28000,55,21,7,2,1.969695,0.809610464,1.968,0.028858829,0.0147208,0.00548397,0.008654059
28000,55,24,8,2,2.25108,0.925269102,2.2528,0.027035354,0.012982321,0.005721941,0.008331092
28000,55,18,9,2,1.68831,0.693951826,1.6872,0.02542766,0.011863144,0.005700942,0.007863574
28000,55,20,10,2,1.8759,0.771057585,1.8754,0.023946147,0.011685965,0.005655682,0.0066045
30500,55,22,2,2,2.074679344,0.855414933,2.0752,0.031597663,0.009573923,0.00116482,0.02085892
30500,55,18,3,2,1.697464918,0.699884945,1.6976,0.028985957,0.014127503,0.00154831,0.013310144
30500,55,20,4,2,1.886072131,0.777649939,1.8856,0.027766118,0.014019442,0.004333824,0.009412852
30500,55,15,5,2,1.414554098,0.583237454,1.4156,0.02724214,0.014114499,0.004281816,0.008845825
30500,55,18,6,2,1.697464918,0.699884945,1.6962,0.032985522,0.014894492,0.005905715,0.012185315
30500,55,21,7,2,1.980375738,0.816532436,1.981,0.031120731,0.016073246,0.006294986,0.008752499
30500,55,24,8,2,2.263286557,0.933179927,2.2632,0.030464669,0.014793506,0.006408588,0.009262575
30500,55,18,9,2,1.697464918,0.699884945,1.6968,0.02901453,0.013351282,0.00645494,0.009208308
30500,55,20,10,2,1.886072131,0.777649939,1.8836,0.027608823,0.013120496,0.006437667,0.00805066
35500,55,22,2,2,2.092330141,0.86689873,2.0926,0.044545041,0.016961707,0.001319935,0.026263399
35500,55,18,3,2,1.711906479,0.709280779,1.712,0.03556621,0.018038764,0.002190661,0.015336784
35500,55,20,4,2,1.90211831,0.788089754,1.902,0.030950126,0.015725526,0.00478317,0.01044143
35500,55,15,5,2,1.426588732,0.591067316,1.4248,0.029694266,0.015694801,0.004903944,0.009095521
35500,55,18,6,2,1.711906479,0.709280779,1.7106,0.040695852,0.019448649,0.006706961,0.014540242
35500,55,21,7,2,1.997224225,0.827494242,1.9954,0.03515108,0.017225955,0.008031636,0.00989349
35500,55,24,8,2,2.282541972,0.945707705,2.2806,0.035590888,0.01723856,0.007626798,0.010725529
35500,55,18,9,2,1.711906479,0.709280779,1.7118,0.035215879,0.016110328,0.007980459,0.011125092
35500,55,20,10,2,1.90211831,0.788089754,1.902,0.035366195,0.016433748,0.007995731,0.010936716
40500,55,22,2,2,2.105622716,0.87558309,2.1078,0.053818033,0.021985055,0.00140459,0.030428388
40500,55,18,3,2,1.722782222,0.716386164,1.72,0.039512495,0.020714497,0.002396297,0.016401701
40500,55,20,4,2,1.914202469,0.795984627,1.9174,0.034584512,0.016581503,0.005305676,0.012697333
40500,55,15,5,2,1.435651852,0.59698847,1.4352,0.032239696,0.016651417,0.005608489,0.00997979
40500,55,18,6,2,1.722782222,0.716386164,1.726,0.046030119,0.022654961,0.007363039,0.016012119
40500,55,21,7,2,2.009912593,0.835783858,2.011,0.038133478,0.018064599,0.009569093,0.010499786
40500,55,24,8,2,2.297042963,0.955181552,2.2966,0.040106651,0.018890216,0.008705118,0.012511317
40500,55,18,9,2,1.722782222,0.716386164,1.722,0.042205373,0.019742521,0.009437627,0.013025226
40500,55,20,10,2,1.914202469,0.795984627,1.9132,0.04267176,0.019562634,0.009418206,0.013690921
45500,55,20,2,2,1.923630769,0.802163915,1.9208,0.05980257,0.024791598,0.001455586,0.033555386
45500,55,18,3,2,1.731267692,0.721947524,1.7286,0.041910461,0.022591577,0.002364555,0.016954329
45500,55,20,4,2,1.923630769,0.802163915,1.922,0.03740338,0.016951451,0.005887066,0.014564862
45500,55,15,5,2,1.442723077,0.601622936,1.4426,0.035749505,0.017482824,0.007134072,0.01113261
45500,55,18,6,2,1.731267692,0.721947524,1.73,0.049959989,0.02501623,0.007957039,0.016986721
