Time,Extension,Load,Strain Gage18
(s),(mm),(N),(mm/mm)
"0.00000","0.00000","0.01178","0.00000"
"0.50000","0.08935","0.01223","0.00000"
"1.00000","0.18926","-0.07297","0.00000"
"1.50000","0.28943","-0.00484","0.00000"
"2.00000","0.38941","-0.03549","0.00000"
"2.50000","0.48924","0.13491","0.00000"
"3.00000","0.58949","0.03400","-0.00001"
"3.50000","0.68935","0.25577","-0.00001"
"4.00000","0.78929","0.14081","-0.00002"
"4.50000","0.88953","0.18872","-0.00002"
"5.00000","0.98932","0.29085","-0.00003"
"5.50000","1.08930","0.40075","-0.00003"
"6.00000","1.18949","0.37184","-0.00003"
"6.50000","1.28931","0.40020","-0.00004"
"7.00000","1.38930","0.41113","-0.00004"
"7.50000","1.48952","0.41870","-0.00005"
"8.00000","1.58929","0.56535","-0.00005"
"8.50000","1.68929","0.52629","-0.00006"
"9.00000","1.78952","0.69902","-0.00006"
"9.50000","1.88932","0.68741","-0.00007"
"10.00000","1.98932","0.75085","-0.00007"
"10.50000","2.08954","0.66070","-0.00008"
"11.00000","2.18930","0.82240","-0.00008"
"11.50000","2.28934","0.93712","-0.00009"
"12.00000","2.38946","0.83778","-0.00009"
"12.50000","2.48929","0.95825","-0.00010"
"13.00000","2.58933","1.02359","-0.00010"
"13.50000","2.68946","1.04201","-0.00010"
"14.00000","2.78926","0.90426","-0.00011"
"14.50000","2.88938","1.03866","-0.00011"
"15.00000","2.98945","1.05392","-0.00012"
"15.50000","3.08930","1.18025","-0.00012"
"16.00000","3.18940","1.12243","-0.00013"
"16.50000","3.28950","1.20757","-0.00013"
"17.00000","3.38929","1.28724","-0.00014"
"17.50000","3.48941","1.34466","-0.00014"
"18.00000","3.58943","1.38372","-0.00015"
"18.50000","3.68925","1.35357","-0.00015"
"19.00000","3.78943","1.42983","-0.00015"
"19.50000","3.88940","1.44291","-0.00016"
"20.00000","3.98927","1.55394","-0.00016"
"20.50000","4.08942","1.53400","-0.00017"
"21.00000","4.18940","1.68721","-0.00017"
"21.50000","4.28929","1.57692","-0.00018"
"22.00000","4.38944","1.63258","-0.00018"
"22.50000","4.48941","1.66771","-0.00019"
"23.00000","4.58925","1.82863","-0.00019"
"23.50000","4.68944","1.83219","-0.00020"
"24.00000","4.78935","1.83582","-0.00020"
"24.50000","4.88925","1.85277","-0.00021"
"25.00000","4.98951","1.94958","-0.00021"
"25.50000","5.08932","2.03446","-0.00021"
"26.00000","5.18928","1.99246","-0.00022"
"26.50000","5.28950","2.08399","-0.00023"
"27.00000","5.38932","2.19284","-0.00023"
"27.50000","5.48925","2.24911","-0.00023"
"28.00000","5.58952","2.21126","-0.00024"
"28.50000","5.68928","2.31057","-0.00024"
"29.00000","5.78929","2.43673","-0.00025"
"29.50000","5.88953","2.50193","-0.00025"
"30.00000","5.98932","2.52083","-0.00026"
"30.50000","6.08931","2.59011","-0.00026"
"31.00000","6.18951","2.64292","-0.00027"
"31.50000","6.28930","2.63229","-0.00027"
"32.00000","6.38932","2.80850","-0.00028"
"32.50000","6.48949","2.81465","-0.00028"
"33.00000","6.58929","2.83112","-0.00029"
"33.50000","6.68933","2.90321","-0.00029"
"34.00000","6.78950","2.89257","-0.00030"
"34.50000","6.88929","3.02492","-0.00030"
"35.00000","6.98935","2.97526","-0.00030"
"35.50000","7.08946","3.00372","-0.00031"
"36.00000","7.18929","3.18258","-0.00031"
"36.50000","7.28935","3.21487","-0.00032"
"37.00000","7.38954","3.11237","-0.00032"
"37.50000","7.48927","3.28830","-0.00033"
"38.00000","7.58939","3.26801","-0.00033"
"38.50000","7.68947","3.23070","-0.00034"
"39.00000","7.78929","3.41564","-0.00034"
"39.50000","7.88938","3.39282","-0.00035"
"40.00000","7.98943","3.39463","-0.00035"
"40.50000","8.08928","3.40656","-0.00036"
"41.00000","8.18939","3.41276","-0.00036"
"41.50000","8.28940","3.51885","-0.00037"
"42.00000","8.38930","3.57310","-0.00037"
"42.50000","8.48938","3.52086","-0.00037"
"43.00000","8.58942","3.63509","-0.00038"
"43.50000","8.68927","3.61294","-0.00038"
"44.00000","8.78948","3.77648","-0.00039"
"44.50000","8.88936","3.81723","-0.00039"
"45.00000","8.98929","3.84538","-0.00040"
"45.50000","9.08945","4.00665","-0.00040"
"46.00000","9.18937","3.91640","-0.00041"
"46.50000","9.28927","3.88333","-0.00041"
"47.00000","9.38951","3.95935","-0.00042"
"47.50000","9.48932","4.01814","-0.00042"
"48.00000","9.58928","4.10542","-0.00043"
"48.50000","9.68947","4.04050","-0.00043"
"49.00000","9.78937","4.25784","-0.00044"
"49.50000","9.88921","4.23110","-0.00044"
"50.00000","9.98950","4.33458","-0.00045"
"50.50000","10.08933","4.18177","-0.00045"
"51.00000","10.18929","4.49393","-0.00045"
"51.50000","10.28953","4.45041","-0.00046"
"52.00000","10.38932","4.61241","-0.00046"
"52.50000","10.48934","4.56261","-0.00047"
"53.00000","10.58948","4.55365","-0.00047"
"53.50000","10.68928","4.65168","-0.00048"
"54.00000","10.78934","4.61284","-0.00048"
"54.50000","10.88950","4.75015","-0.00049"
"55.00000","10.98929","4.78295","-0.00049"
"55.50000","11.08935","4.79949","-0.00050"
"56.00000","11.18952","4.86741","-0.00050"
"56.50000","11.28927","4.92276","-0.00051"
"57.00000","11.38933","5.11509","-0.00051"
"57.50000","11.48953","5.01667","-0.00052"
"58.00000","11.58929","5.03191","-0.00052"
"58.50000","11.68937","5.16600","-0.00053"
"59.00000","11.78946","5.23294","-0.00053"
"59.50000","11.88929","5.22624","-0.00054"
"60.00000","11.98936","5.23912","-0.00054"
"60.50000","12.08949","5.36418","-0.00055"
"61.00000","12.18926","5.34557","-0.00055"
"61.50000","12.28941","5.37081","-0.00055"
"62.00000","12.38941","5.43797","-0.00056"
"62.50000","12.48930","5.44123","-0.00056"
"63.00000","12.58941","5.52390","-0.00057"
"63.50000","12.68945","5.56904","-0.00057"
"64.00000","12.78929","5.58212","-0.00058"
"64.50000","12.88945","5.60149","-0.00058"
"65.00000","12.98939","5.71325","-0.00059"
"65.50000","13.08926","5.60477","-0.00059"
"66.00000","13.18945","5.80356","-0.00060"
"66.50000","13.28939","5.78524","-0.00060"
"67.00000","13.38927","5.83135","-0.00061"
"67.50000","13.48948","5.95085","-0.00061"
"68.00000","13.58935","5.98965","-0.00062"
"68.50000","13.68928","5.95816","-0.00062"
"69.00000","13.78946","6.02960","-0.00062"
"69.50000","13.88939","6.15245","-0.00063"
"70.00000","13.98925","6.10898","-0.00063"
"70.50000","14.08946","6.13463","-0.00064"
"71.00000","14.18936","6.15077","-0.00064"
"71.50000","14.28926","6.20652","-0.00065"
"72.00000","14.38952","6.24912","-0.00065"
"72.50000","14.48928","6.29753","-0.00066"
"73.00000","14.58931","6.37768","-0.00066"
"73.50000","14.68951","6.37392","-0.00067"
"74.00000","14.78930","6.43853","-0.00067"
"74.50000","14.88931","6.43809","-0.00067"
"75.00000","14.98954","6.63938","-0.00068"
"75.50000","15.08931","6.56249","-0.00068"
"76.00000","15.18933","6.59098","-0.00069"
"76.50000","15.28950","6.71469","-0.00069"
"77.00000","15.38927","6.81641","-0.00070"
"77.50000","15.48930","6.75314","-0.00070"
"78.00000","15.58955","6.85856","-0.00071"
"78.50000","15.68928","6.82635","-0.00071"
"79.00000","15.78936","6.84645","-0.00072"
"79.50000","15.88948","6.90890","-0.00072"
"80.00000","15.98931","6.98473","-0.00073"
"80.50000","16.08931","7.05506","-0.00073"
"81.00000","16.18949","7.10883","-0.00074"
"81.50000","16.28931","7.19203","-0.00074"
"82.00000","16.38938","7.25301","-0.00074"
"82.50000","16.48948","7.27286","-0.00075"
"83.00000","16.58932","7.32279","-0.00075"
"83.50000","16.68938","7.26750","-0.00076"
"84.00000","16.78949","7.28599","-0.00076"
"84.50000","16.88927","7.38920","-0.00077"
"85.00000","16.98936","7.38342","-0.00077"
"85.50000","17.08944","7.51343","-0.00078"
"86.00000","17.18929","7.60065","-0.00078"
"86.50000","17.28939","7.73109","-0.00078"
"87.00000","17.38943","7.70395","-0.00079"
"87.50000","17.48926","7.72101","-0.00079"
"88.00000","17.58947","7.60587","-0.00080"
"88.50000","17.68933","7.77469","-0.00080"
"89.00000","17.78929","7.76109","-0.00081"
"89.50000","17.88942","7.80501","-0.00081"
"90.00000","17.98941","7.79019","-0.00082"
"90.50000","18.08928","7.99536","-0.00082"
"91.00000","18.18949","7.95272","-0.00083"
"91.50000","18.28933","7.99014","-0.00083"
"92.00000","18.38929","8.12502","-0.00083"
"92.50000","18.48946","7.93698","-0.00084"
"93.00000","18.58932","8.03233","-0.00084"
"93.50000","18.68927","8.12490","-0.00085"
"94.00000","18.78952","8.24033","-0.00085"
"94.50000","18.88926","8.29783","-0.00086"
"95.00000","18.98933","8.46649","-0.00086"
"95.50000","19.08949","8.50044","-0.00087"
"96.00000","19.18936","8.64667","-0.00087"
"96.50000","19.28924","8.51543","-0.00088"
"97.00000","19.38955","8.60423","-0.00088"
"97.50000","19.48931","8.62644","-0.00088"
"98.00000","19.58931","8.63074","-0.00089"
"98.50000","19.68953","8.72018","-0.00089"
"99.00000","19.78931","8.69799","-0.00090"
"99.50000","19.88931","8.73192","-0.00090"
"100.00000","19.98951","8.82045","-0.00091"
"100.50000","20.08927","8.90438","-0.00091"
"101.00000","20.18938","9.03795","-0.00092"
"101.50000","20.28951","9.03481","-0.00092"
"102.00000","20.38930","9.07916","-0.00092"
"102.50000","20.48932","9.07106","-0.00093"
"103.00000","20.58951","9.24236","-0.00093"
"103.50000","20.68929","9.23580","-0.00094"
"104.00000","20.78936","8.94074","-0.00094"
"104.50000","20.88953","9.19827","-0.00095"
"105.00000","20.98927","9.30648","-0.00095"
"105.50000","21.08939","9.46919","-0.00096"
"106.00000","21.18945","9.47696","-0.00096"
"106.50000","21.28928","9.61966","-0.00097"
"107.00000","21.38936","9.62995","-0.00097"
"107.50000","21.48945","9.65152","-0.00098"
"108.00000","21.58927","9.64028","-0.00098"
"108.50000","21.68943","9.69409","-0.00098"
"109.00000","21.78946","9.76288","-0.00099"
"109.50000","21.88933","9.62521","-0.00099"
"110.00000","21.98938","9.66052","-0.00100"
"110.50000","22.08943","9.83246","-0.00100"
"111.00000","22.18929","9.75879","-0.00101"
"111.50000","22.28946","10.01370","-0.00101"
"112.00000","22.38935","10.04148","-0.00102"
"112.50000","22.48927","10.12088","-0.00102"
