Time,Extension,Load,Strain Gage18
(s),(mm),(N),(mm/mm)
"0.00000","0.00000","190.66197","-0.00070"
"0.10000","0.00302","205.55502","-0.00067"
"0.20000","0.01345","258.67972","-0.00059"
"0.30000","0.02397","309.73709","-0.00050"
"0.40000","0.03394","351.24969","-0.00043"
"0.50000","0.04399","387.43130","-0.00037"
"0.60000","0.05399","431.11649","-0.00030"
"0.70000","0.06404","474.74368","-0.00023"
"0.80000","0.07400","518.88867","-0.00016"
"0.90000","0.08403","562.97437","-0.00008"
"1.00000","0.09402","606.90570","-0.00001"
"1.10000","0.10408","650.79065","0.00006"
"1.20000","0.11409","694.00262","0.00013"
"1.30000","0.12402","736.83319","0.00020"
"1.40000","0.13398","779.56238","0.00027"
"1.50000","0.14394","822.09326","0.00034"
"1.60000","0.15396","864.82623","0.00041"
"1.70000","0.16402","907.50000","0.00049"
"1.80000","0.17410","950.24744","0.00056"
"1.90000","0.18412","992.49200","0.00063"
"2.00000","0.19404","1034.34058","0.00070"
"2.10000","0.20394","1076.06201","0.00077"
"2.20000","0.21386","1117.60925","0.00085"
"2.30000","0.22393","1159.70667","0.00092"
"2.40000","0.23406","1202.08081","0.00099"
"2.50000","0.24416","1243.94458","0.00107"
"2.60000","0.25407","1285.26428","0.00114"
"2.70000","0.26404","1326.56287","0.00122"
"2.80000","0.27391","1367.26099","0.00130"
"2.90000","0.28393","1408.32825","0.00138"
"3.00000","0.29405","1449.82336","0.00145"
"3.10000","0.30404","1490.46729","0.00153"
"3.20000","0.31407","1531.33093","0.00161"
"3.30000","0.32407","1571.26990","0.00169"
"3.40000","0.33403","1611.41199","0.00177"
"3.50000","0.34403","1650.69751","0.00185"
"3.60000","0.35403","1690.46704","0.00194"
"3.70000","0.36405","1730.12170","0.00203"
"3.80000","0.37402","1769.35645","0.00212"
"3.90000","0.38397","1808.67590","0.00222"
"4.00000","0.39396","1847.57190","0.00232"
"4.10000","0.40403","1886.40686","0.00242"
"4.20000","0.41410","1925.33960","0.00253"
"4.30000","0.42414","1963.30115","0.00264"
"4.40000","0.43405","2000.59155","0.00275"
"4.50000","0.44397","2037.30835","0.00287"
"4.60000","0.45384","2074.02881","0.00299"
"4.70000","0.46397","2111.16357","0.00313"
"4.80000","0.47408","2147.88232","0.00327"
"4.90000","0.48420","2184.23633","0.00342"
"5.00000","0.49409","2219.29028","0.00357"
"5.10000","0.50403","2254.26514","0.00373"
"5.20000","0.51390","2288.47900","0.00390"
"5.30000","0.52391","2322.45386","0.00409"
"5.40000","0.53404","2356.76489","0.00428"
"5.50000","0.54406","2390.08936","0.00449"
"5.60000","0.55412","2423.14990","0.00470"
"5.70000","0.56409","2455.41406","0.00493"
"5.80000","0.57399","2486.96094","0.00516"
"5.90000","0.58400","2518.08472","0.00542"
