t 	 Ax 	 AxUn 	 Vx 	 Duration 	 DurationUn 	 Distance 	 vel_from_dist
31078044	0.05	0.00	1.65	1189.00	1189.00	20.51	inf
31131084	0.05	0.00	1.65	1190.00	1190.00	20.51	0.00
31185164	0.05	0.00	1.65	1189.00	1189.00	20.51	inf
31238204	0.05	-0.00	1.65	1184.00	1184.00	20.50	3.05
31293324	0.05	0.00	1.65	1191.00	1191.00	20.50	inf
31346364	0.05	0.00	1.65	1190.00	1190.00	20.50	0.00
31400444	0.05	-0.00	1.65	1190.00	1190.00	20.50	0.00
31455564	0.05	-0.00	1.65	1189.00	1189.00	20.49	0.87
31510684	0.05	0.00	1.65	1185.00	1185.00	20.50	0.44
31564764	0.05	0.00	1.65	1190.00	1190.00	20.49	inf
31617804	0.05	-0.00	1.65	1191.00	1191.00	20.50	-0.87
