0	-76.9931
0.1	161.126
0.2	176.979
0.3	158.59
0.4	135.434
0.5	112.673
0.6	91.8157
0.7	73.2023
0.8	56.7552
0.9	42.2658
1	29.5037
1.1	18.2562
1.2	8.33549
1.3	-0.418694
1.4	-8.14396
1.5	-14.9589
1.6	-20.9649
1.7	-26.2518
1.8	-30.8967
1.9	-34.9684
2	-38.5286
2.1	-41.6302
2.2	-44.3242
2.3	-46.6524
2.4	-48.6551
2.5	-50.368
2.6	-51.823
2.7	-53.0515
2.8	-54.0782
2.9	-54.9284
3	-55.6247
3.1	-56.1865
3.2	-56.6344
3.3	-56.9834
3.4	-57.2497
3.5	-57.4478
3.6	-57.5899
3.7	-57.6894
3.8	-57.7553
3.9	-57.7977
4	-57.8252
4.1	-57.8488
4.2	-57.8697
4.3	-57.8994
4.4	-57.9436
4.5	-58.0014
4.6	-58.0865
4.7	-58.1933
4.8	-58.331
4.9	-58.5023
5	-58.7031
5.1	-58.9444
5.2	-59.2177
5.3	-59.5296
5.4	-59.8801
5.5	-60.2625
5.6	-60.6851
5.7	-61.1368
5.8	-61.6218
5.9	-62.137
6	-62.6735
6.1	-63.2365
6.2	-63.8123
6.3	-64.402
6.4	-64.9997
6.5	-65.5933
6.6	-66.1846
6.7	-66.7569
6.8	-67.3074
6.9	-67.8267
7	-68.299
7.1	-68.7219
7.2	-69.0748
7.3	-69.3505
7.4	-69.5351
7.5	-69.6087
7.6	-69.5633
7.7	-69.3737
7.8	-69.0248
7.9	-68.4898
8	-67.7235
8.1	-66.6525
8.2	-65.1052
8.3	-62.6884
8.4	-58.4532
8.5	-50.094
8.6	-32.1417
8.7	7.81014
8.8	96.1606
8.9	314.733
9	1245.07
