0	-102.189
0.1	171.928
0.2	185.889
0.3	166.54
0.4	142.578
0.5	118.92
0.6	96.9874
0.7	77.0971
0.8	59.1716
0.9	43.0134
1	28.4093
1.1	15.1669
1.2	3.11918
1.3	-7.87468
1.4	-17.9289
1.5	-27.1441
1.6	-35.6013
1.7	-43.371
1.8	-50.5147
1.9	-57.0817
2	-63.1195
2.1	-68.6654
2.2	-73.7548
2.3	-78.4184
2.4	-82.6805
2.5	-86.5673
2.6	-90.0979
2.7	-93.2914
2.8	-96.1642
2.9	-98.7288
3	-101
3.1	-102.987
3.2	-104.7
3.3	-106.147
3.4	-107.332
3.5	-108.264
3.6	-108.945
3.7	-109.378
3.8	-109.565
3.9	-109.505
4	-109.2
4.1	-108.648
4.2	-107.841
4.3	-106.784
4.4	-105.465
4.5	-103.88
4.6	-102.025
4.7	-99.8827
4.8	-97.4527
4.9	-94.7076
5	-91.6176
5.1	-88.1169
5.2	-84.0363
5.3	-79.0034
5.4	-72.0672
5.5	-60.9497
5.6	-40.2001
5.7	2.55933
5.8	93.6749
5.9	315.114
6	1249.72
