0	-5.79668
0.1	109.374
0.2	324.064
0.3	739.32
0.4	1353.69
0.5	2144.29
0.6	3082.44
0.7	4139.67
0.8	5289.88
0.9	6510
1	7779.92
1.1	9082.23
1.2	10401.9
1.3	11726
1.4	13043.2
1.5	14343.9
1.6	15619.4
1.7	16862.4
1.8	18066.4
1.9	19225.6
2	20335.1
2.1	21390.3
2.2	22387.4
2.3	23322.8
2.4	24193.4
2.5	24996.4
2.6	25729.4
2.7	26390
2.8	26976.2
2.9	27486.3
3	27918.4
3.1	28271.1
3.2	28543
3.3	28732.8
3.4	28839.3
3.5	28861.2
3.6	28797.7
3.7	28647.6
3.8	28409.9
3.9	28083.8
4	27668.2
4.1	27162.3
4.2	26565
4.3	25875.5
4.4	25092.6
4.5	24215.2
4.6	23242.2
4.7	22172.3
4.8	21003.9
4.9	19735.5
5	18365.1
5.1	16890.6
5.2	15309.7
5.3	13620.2
5.4	11820.7
5.5	9912.79
5.6	7905.56
5.7	5829.43
5.8	3774.63
5.9	2005.64
6.0 2390.11
