0	36970.6
0.1	33414.6
0.2	29994.3
0.3	26733
0.4	23628.1
0.5	20675.5
0.6	17870.6
0.7	15208.8
0.8	12685.4
0.9	10295.7
1	8035.13
1.1	5899.12
1.2	3883.18
1.3	1982.91
1.4	194.023
1.5	-1487.64
1.6	-3066.12
1.7	-4545.31
1.8	-5928.96
1.9	-7220.65
2	-8423.82
2.1	-9541.71
2.2	-10577.4
2.3	-11533.8
2.4	-12413.7
2.5	-13219.4
2.6	-13953.5
2.7	-14618
2.8	-15215
2.9	-15746.1
3	-16212.9
3.1	-16616.9
3.2	-16959.1
3.3	-17240.6
3.4	-17462.2
3.5	-17624.5
3.6	-17727.8
3.7	-17772.3
3.8	-17758.2
3.9	-17685.2
4	-17553
4.1	-17361
4.2	-17108.5
4.3	-16794.7
4.4	-16418.5
4.5	-15978.6
4.6	-15473.7
4.7	-14902.2
4.8	-14262.5
4.9	-13552.7
5	-12770.8
5.1	-11914.7
5.2	-10982.2
5.3	-9970.99
5.4	-8878.55
5.5	-7702.29
5.6	-6439.31
5.7	-5085.44
5.8	-3630.86
5.9	-2038.33
6	-57.9436
