0	1957.77
0.1	26861.2
0.2	48975.4
0.3	70122.6
0.4	88574.7
0.5	104257
0.6	117309
0.7	127986
0.8	136532
0.9	143168
1	148087
1.1	151454
1.2	153412
1.3	154088
1.4	153592
1.5	152022
1.6	149469
1.7	146010
1.8	141721
1.9	136666
2	130908
2.1	124503
2.2	117503
2.3	109958
2.4	101913
2.5	93412.4
2.6	84495.7
2.7	75201.7
2.8	65567.2
2.9	55626.8
3	45414.3
3.1	34961.5
3.2	24299.7
3.3	13458.9
3.4	2468.41
3.5	-8643.23
3.6	-19847.9
3.7	-31117.9
3.8	-42425.8
3.9	-53744.5
4	-65046.6
4.1	-76304.9
4.2	-87491.9
4.3	-98580
4.4	-109541
4.5	-120347
4.6	-130968
4.7	-141376
4.8	-151541
4.9	-161432
5	-171022
5.1	-180276
5.2	-189161
5.3	-197620
5.4	-205548
5.5	-212670
5.6	-218230
5.7	-220019
5.8	-211857
5.9	-178974
6	-135933
