Plane1.ElapsedDays        Plane1.Luna.HMAG          Plane2.Luna.HMAG          Plane3.Luna.HMAG          Plane4.Luna.HMAG          Plane1.MoonInertial.INC   Plane2.MoonInertial.INC   Plane3.MoonInertial.INC   Plane4.MoonInertial.INC   Plane1.Luna.ECC           Plane2.Luna.ECC           Plane3.Luna.ECC           Plane4.Luna.ECC           Plane1.MoonInertial.RAAN   Plane2.MoonInertial.RAAN   Plane3.MoonInertial.RAAN   Plane4.MoonInertial.RAAN   Plane1.MoonInertial.AOP   Plane2.MoonInertial.AOP   Plane3.MoonInertial.AOP   Plane4.MoonInertial.AOP   Plane1.Luna.TA            Plane2.Luna.TA            Plane3.Luna.TA            Plane4.Luna.TA            
0                         6063.909989941167         6063.909989941303         6063.909989941353         6063.909989941046         54.99999999999999         55.00000000000001         55.00000000000002         54.99999999999999         9.999967891831929e-10     1.000019377305318e-09     1.000027529418871e-09     9.999770883650359e-10     0                          90.00000000000186          180                        269.9999999999991          359.9994190874922         359.9991652691257         0.001021478353813069      0.0005730627675250017     0.0006150815497181904     0.0008919585395350195     359.9989963005641         359.9991793218789         
10.00000000000364         6063.173758577379         6062.913575845592         6061.637799045074         6063.360749775141         55.13875818415292         55.27189521947033         55.42360307984845         54.13388017189384         0.0006419703489278523     0.001027833402213664      0.0008678635404754652     0.0003811524000826098     358.3424023315473          89.30616829927203          179.143998809006           269.4899125223827          17.6581903872415          185.8548795389734         83.79614617810816         63.38248287451414         280.4085574831172         112.4704662396195         218.9295987561472         234.0239488862083         
20.00000000000364         6060.733110004727         6065.496044115922         6061.466301105745         6063.400421825717         54.64185486494338         56.32937861145943         54.90197219858801         54.06567022869295         0.001477882070537565      0.002458419517628543      0.0008404691480495106     0.0009929175082177071     356.5766363102603          88.13916396693568          178.1761355308591          268.259175629228           24.21649598459183         190.3622651598027         183.788726085251          88.14497986094376         211.4737245707144         47.60596106121372         61.20449617276604         147.1896635289175         
30                        6061.732325124627         6064.930442238629         6062.699812676047         6065.638290399937         54.22910921715256         56.94000367358449         54.72016325027427         54.03322584664515         0.001325703998082205      0.001407046287443064      0.001517757800692914      0.001698459748054477      355.5538321637793          86.39791824770236          177.633773360775           266.5689305385067          298.5169122270899         177.7115361956357         221.0081611852129         114.0661949490551         233.905307475546          0.9606570813520644        323.7316143299689         61.09577222434746         
40.00000000000364         6060.721130618477         6063.906862086527         6061.081788111725         6065.028280490765         54.44846246917381         56.7713248814741          55.57381667120725         53.04049854254421         0.002051450228870316      0.001566754706617471      0.002238700968343343      0.001447790204005456      354.4307486509604          84.96849308024449          177.078135598481           265.4423122629129          277.0431378965428         153.6588183341936         255.5857771151903         81.07557406925365         192.5127432552045         324.3763864986779         230.0472717355478         33.44673242282433         
49.99999999999636         6061.687971552097         6064.181109800961         6060.721282904046         6064.168591580755         54.34765165915793         57.31358486707121         55.74417071668715         52.31386330867975         0.002420884894102963      0.001234242305307103      0.002606952698074054      0.001899461520596067      352.5063761734864          83.93519625668927          176.0748141474743          264.5235244817387          267.3080537770337         130.3793650272893         252.9065586211534         61.41256974791448         140.1981943730598         286.2856068932251         175.7583536174132         350.7486378142089         
59.99999999999272         6063.285179549877         6063.805459673657         6062.815689999615         6065.28727086019          53.69787948105081         58.41172400977253         55.01367152567806         52.54945563816865         0.001889623541469263      0.00108632246265016       0.001188703373237998      0.001617417201260936      351.0361512225239          82.90597964506532          175.2669150200066          263.3165674678902          250.2050028754446         91.31050568815621         253.094402054801          40.76895838140334         95.18261840089862         265.1692995092466         117.123607864471          309.183054255276          
69.99999999999272         6063.705177995769         6061.567161657556         6061.857045200887         6063.854428454283         53.29738977588208         58.82667599338765         55.13255999269463         52.34404739935318         0.001434035258288106      0.001041546189458041      0.001158446575798253      0.002515425018925907      350.0961390821846          81.16349235234529          174.7931838633356          261.5810409235858          220.2885459998697         119.9624802150793         220.788886415744          29.85182739961189         61.73772091486538         177.3736504937115         89.24219838965392         260.0340854706547         
79.99999999998909         6065.252498531975         6061.912356536474         6061.46308735809          6062.148994534754         53.35800407557933         58.87187570268393         55.86001927355564         51.36488178661206         0.001709761323080797      0.0002863101594412193     0.002087670674966141      0.00155684380927779       348.6620163785439          79.67588259339233          174.0618069341601          260.3248605161195          219.4333481602452         106.5433404936374         179.48075140701           50.29871118607307         359.528481763345          130.0898510426921         72.28915562520457         179.0175875094137         
89.99999999998909         6065.898795040664         6062.043290344202         6064.168224137721         6063.467944577014         53.18556417273994         59.47466771832382         55.74189944234793         50.86529800278598         0.001219700689807853      0.0007372524307571251     0.002106637168806675      0.000556457537313894      346.8977222974076          79.05286693473286          173.143478655533           259.7126220503266          190.0664031855502         292.214465932011          203.2504891990012         61.63678879740145         327.1044274515339         242.6852958118711         351.1702464455031         104.8160397010525         
99.99999999998909         6065.326260223196         6059.841196889454         6063.014087646761         6061.771948305774         52.44311881779071         60.51915071429893         55.1310398748812          51.02833858762303         0.0008261793789474761     0.002005327947012187      0.002184100236186003      0.001072435030992867      345.3904058263806          77.74438279195167          172.3593901334849          258.1782595919483          153.5844471919281         274.621198620149          197.1146892061602         312.4964961088157         301.163124971584          200.2637214105911         298.2173104356297         152.5351212745613         
