P11.ElapsedDays           P11.Luna.HMAG             P21.Luna.HMAG             P31.Luna.HMAG             P41.Luna.HMAG             P11.MoonInertial.INC      P21.MoonInertial.INC      P31.MoonInertial.INC      P41.MoonInertial.INC      P11.Luna.ECC              P21.Luna.ECC              P31.Luna.ECC              P41.Luna.ECC              P11.MoonInertial.RAAN     P21.MoonInertial.RAAN     P31.MoonInertial.RAAN     P41.MoonInertial.RAAN     P11.MoonInertial.AOP      P21.MoonInertial.AOP      P31.MoonInertial.AOP      P41.MoonInertial.AOP      P11.Luna.TA               P21.Luna.TA               P31.Luna.TA               P41.Luna.TA               
0                         6063.909989941243         6063.909989941201         6063.909989941227         6063.909989941203         55.00000000000014         55.00000000000016         55.00000000000014         55.00000000000023         1.000116014273554e-10     1.000062207170441e-10     1.000075097836211e-10     1.000054532656066e-10     0                         89.99999999999993         180                       269.9999999999997         359.9993570200118         0.00109431169431099       0.005351653307594803      0.002518169005662155      0.0006231149845164845     22.49931078697426         44.99703734043597         67.4995632206104          
9.999999999996362         6062.723088900901         6063.892163823647         6064.696743645533         6064.915522258358         55.35026960780358         54.50126756003765         55.47754626608887         54.68900125301721         0.0006991526540531544     0.0008032338583468749     0.001032974020808233      0.001256918551897677      358.4006042362234         89.10765472208541         178.2780222922563         269.1967971539075         134.6925456099963         125.7405490319261         337.6936240493585         64.45756770979557         166.5166996331758         190.7935143052549         10.08760880733063         295.2972078346605         
20.00000000000364         6060.906712587283         6064.626974382487         6062.80570760609          6062.941637042636         54.7774875025512          54.75824400974735         55.18232055484377         55.28793527603575         0.0005312480416054551     0.001927559488978498      0.0008981489046536938     0.002245916774497561      356.7401245539965         87.6494937627651          176.3968591626976         267.9294524963274         63.47248386011012         135.0431726698387         276.8758252187851         77.341982407188           178.6271124351966         116.1485854957162         13.11830721042727         215.7410071817743         
30.00000000000728         6062.467464380419         6066.703614587841         6062.699453488093         6065.106440770847         54.32185635526277         54.95044956318411         55.07657634744703         55.64852269385189         0.001020189352042679      0.001342360549085053      0.001591311454612822      0.001955107388627332      355.7803411000771         85.72970894379198         175.3359558238688         266.2868945730231         220.6586719850139         120.0563690282023         242.7551974547453         91.71837039839238         320.356058869147          67.12628017403088         347.686238030191          136.6704623737076         
40                        6061.120631141394         6066.327074454978         6063.435208915564         6066.185602897092         54.86292948848103         54.2586973470621          55.81326197029618         55.04510224547331         0.002191860194045323      0.001769284898658884      0.002144383033852439      0.001815703765557958      354.671949423453          84.14813496752606         174.1968579147386         264.8628827100017         236.412320978808          121.018485121685          241.4793069463492         72.72202775227183         243.860469798427          1.689802430916961         290.0088172949423         89.9491823172489          
50                        6060.575435802439         6065.705049847703         6060.16447132087          6065.985343936101         54.97922443946614         53.89887146986904         56.12506538039147         54.96275425045911         0.002648183734946194      0.001733678117066855      0.003106443656873994      0.002532963738759533      352.8259852143117         82.85194435663648         172.1894326925045         263.7214625482738         258.4349936743099         85.66488266973985         241.3701925265874         61.69169402637364         163.333183916732          331.2226481892473         232.6850065081436         33.76547007771863         
59.99999999999636         6062.941602360981         6065.999360856004         6061.052292701244         6067.356704880817         54.23629898559261         54.36353395222567         55.64594291808941         55.74862546205992         0.001679030138336124      0.001653366655684104      0.001641171620627437      0.002285673690915866      351.4495682417911         81.55939070582546         170.6480361568456         262.6549375283878         231.673337574385          47.24932479343869         227.2979041649475         46.32999052389245         130.7764429846057         304.1834845392953         188.8189190457983         342.3128574585616         
69.99999999999636         6062.231538478828         6063.553178896093         6061.190569878047         6066.795412289062         53.95589020049933         54.39360899237934         55.66742411346681         55.92789599211857         0.001814739903387102      0.002036907575410677      0.001253649180500865      0.003227656393291885      350.5416097325061         79.58404077665657         169.6528473481548         260.946950570901          216.89280620363           69.83179935600595         210.0962778976196         40.07101659653622         84.42498516096416         217.8357396093772         146.5843907383001         283.5681574043618         
79.99999999999272         6062.844358737418         6062.883486448475         6059.80189081142          6064.689605625575         54.40691066291408         53.76305488432828         56.31132234135698         55.44928908540276         0.001519236500629357      0.001938742342018752      0.002000559007573146      0.002072105154905513      349.1123007965585         77.85655450438144         168.1407217164185         259.4471948001527         202.1910637847622         52.57579695049072         172.1288492670041         53.44686627494317         38.90656014092462         170.6152020871348         126.1757661586393         204.4031257398242         
89.99999999998909         6064.830589812585         6063.535293955682         6060.344319063508         6065.69958938602          54.42803230334328         53.53529950483182         56.45790934987445         55.54644546344794         0.002282230306089446      0.0008508393053437214     0.0007157904977174211     0.001371088822215941      347.4177481057895         76.98034493989312         166.3539509447181         258.7057441225277         191.7248899461495         23.39863066011914         160.6617549634933         61.3440777806808          350.711554183838          133.7011412828915         80.30430958887037         128.9279439096809         
99.99999999998181         6064.319057192805         6062.091052911886         6061.682742584208         6063.146910061157         53.69081286095131         53.92397322314088         56.02354147180062         56.28235422071834         0.001421220141101376      0.0007800905816551915     0.001491016228308268      0.001928718780755214      345.978331709225          75.36003291811106         164.7394473283797         257.3286586356012         195.9076616950242         312.0492089616208         213.0804646203456         2.586857778238642         286.793783200073          139.9435440327982         329.3634171212433         121.7483299876473         
109.9999999999855         6063.827964700971         6064.683861900519         6061.537115134022         6063.912643609366         53.55930790178971         53.852178147464           56.12674812948519         56.33294916754879         0.0007997035994955995     0.0009550189807181755     0.001790681015331668      0.001280244910864852      344.9961055287391         73.33796386337529         163.6754462811896         255.608435234657          231.4132564108627         348.7966027452364         238.9227318376829         26.19103008051019         190.2669683531894         39.34476191962284         243.9588196428203         33.04776648933488         
