Plane1.ElapsedDays        Plane1.Luna.HMAG          Plane2.Luna.HMAG          Plane3.Luna.HMAG          Plane4.Luna.HMAG          Plane1.MoonInertial.INC   Plane2.MoonInertial.INC   Plane3.MoonInertial.INC   Plane4.MoonInertial.INC   Plane1.Luna.ECC           Plane2.Luna.ECC           Plane3.Luna.ECC           Plane4.Luna.ECC           Plane1.MoonInertial.RAAN   Plane2.MoonInertial.RAAN   Plane3.MoonInertial.RAAN   Plane4.MoonInertial.RAAN   Plane1.MoonInertial.AOP   Plane2.MoonInertial.AOP   Plane3.MoonInertial.AOP   Plane4.MoonInertial.AOP   Plane1.Luna.TA            Plane2.Luna.TA            Plane3.Luna.TA            Plane4.Luna.TA            
0                         6063.909989941169         6063.909989941303         6063.909989941353         6063.909989941046         45.00000000000001         45                        45.00000000000003         54.99999999999999         9.999972987173936e-10     1.000019377341478e-09     1.000027529449993e-09     9.999770883650359e-10     0                          90.00000000000189          180                        269.9999999999991          359.9993003336689         359.9990490552001         0.001148097964497949      0.0005730627675250017     0.0007546673278587344     0.001016364723929201      359.9988992096032         359.9991793218789         
10                        6063.307824864093         6063.275397418413         6061.932709655403         6063.360749775141         45.06696730656323         45.43991466180263         45.42235450975581         54.13388017189384         0.001213285608447011      0.0009430855981863202     0.0008198000634987266     0.0003811524000826098     358.4715607603026          89.26547527039747          178.4474651480158          269.4899125223827          6.739488156733851         183.6229442119882         53.32879769769471         63.38248287451414         290.097883995658          113.9884671396485         248.961816270028          234.0239488862083         
20                        6060.672620042639         6066.096297006498         6061.299633737033         6063.400421825717         44.6395492008645          46.5563639579586          44.99109925366056         54.06567022869295         0.001875672484053004      0.002132575605733455      0.0004767619291874925     0.0009929175082177071     356.7981357608003          87.81591391544121          176.7546494851354          268.259175629228           23.17955972198267         189.831552132337          194.8460647054457         88.14497986094376         210.1200027292722         46.61727771685721         49.29534935911943         147.1896635289175         
30                        6061.536647650705         6065.110505728854         6062.549990665131         6065.638290399937         44.25082408413962         47.20568753844558         44.8548703049787          54.03322584664515         0.001776800660108087      0.001398358121934861      0.001357686784788981      0.001698459748054477      355.8296716839911          85.76035343827334          175.78949686403            266.5689305385067          313.4335194622923         165.8602954557886         235.9217222230952         114.0661949490551         215.7212547986311         10.33394780959342         307.6163315139361         61.09577222434746         
40                        6060.864530267481         6064.507492578556         6060.803579948025         6065.028280490765         44.33356622414554         47.20535096700569         45.68782224150493         53.04049854254421         0.002232879850351105      0.001546319334928918      0.00239798145331475       0.001447790204005456      354.8227215165742          84.22802839795001          174.7668383014838          265.4423122629129          295.7875577195513         139.8723783881398         268.6874041339493         81.07557406925365         169.6348949942541         334.7325476133983         215.324272177159          33.44673242282433         
49.99999999999636         6062.399240491042         6064.36731599913          6060.95173041343          6064.168591580755         44.1861242736778          47.89301394216456         45.95010767308958         52.31386330867975         0.002246783851025255      0.001684589913136386      0.002753177858412717      0.001899461520596067      353.0404313393531          83.06549080999901          172.9799496865024          264.5235244817387          273.043318141032          123.6788935900695         255.3022994666456         61.41256974791448         128.9802100085131         288.661444541143          171.2744998233014         350.7486378142089         
59.99999999999272         6063.764686190847         6063.425276668922         6062.846120357783         6065.28727086019          43.63837322773763         48.99521015311237         45.33903204832882         52.54945563816865         0.001927561045305328      0.001512456969652039      0.001391432724345518      0.001617417201260936      351.6315326398263          81.78201744526653          171.5683012430258          263.3165674678902          262.7225834352158         98.91277003992934         259.1001775353486         40.76895838140334         76.08502334060815         252.4357154181156         108.7445934834419         309.183054255276          
69.99999999999636         6064.791625746003         6061.584702745374         6061.870958486132         6063.854428454283         43.23457025050966         49.48548557345909         45.44283557920578         52.34404739935318         0.001223769740124891      0.001321477809896899      0.001382561610852556      0.002515425018925907      350.7580911009006          79.78494238367125          170.7001432944668          261.5810409235858          232.1431552338812         101.0229803329928         225.621442118683          29.85182739961189         42.38333433689734         190.1263388898623         81.63100068341886         260.0340854706547         
80                        6065.973594034046         6061.730444945472         6062.449012822314         6062.148994534754         43.17529843194166         49.700591383759           46.20317257868116         51.36488178661206         0.001762545310188804      0.0009328217378894621     0.002313391194327945      0.00155684380927779       349.4692979105594          78.16496552487838          169.3990724729802          260.3248605161195          225.2766439721033         84.12160658535237         192.3521189601063         50.29871118607307         345.1171019972304         145.414086879618          56.0414952028797          179.0175875094137         
90.00000000000364         6066.170242063435         6061.479656342011         6064.536307610793         6063.467944577014         42.98295414807708         50.38437738805489         46.26312168050756         50.86529800278598         0.0007811009322712037     0.0008071044682316509     0.001924828655565323      0.000556457537313894      347.8364460256787          77.44814975853127          167.7818611986188          259.7126220503266          199.0165754770214         335.2275102881402         207.0226297477526         61.63678879740145         308.4303927838988         191.8794145019924         343.6088917559029         104.8160397010525         
100.0000000000036         6065.224267606977         6060.368946184068         6063.559293899153         6061.771948305774         42.33383793351455         51.44959163890694         45.76208798433769         51.02833858762303         0.0009039586515290919     0.001469403037509775      0.002136717271288759      0.001072435030992867      346.403750999005           75.8988380080386           166.3629113508724          258.1782595919483          145.9540991539721         288.2961155799017         201.8429631043927         312.4964961088157         297.937240511672          177.8409614661941         289.4989021062823         152.5351212745613         
