Time,Extension,Load,Strain Gage18
(s),(mm),(N),(mm/mm)
"0.00000","0.00000","0.03529","0.00001"
"0.00100","0.00000","0.03381","0.00001"
"0.00200","0.00000","0.03216","0.00001"
"0.00300","0.00000","0.03076","0.00001"
"0.00400","0.00000","0.02997","0.00001"
"0.00500","0.00000","0.02973","0.00001"
"0.00600","0.00000","0.02963","0.00001"
"0.00700","0.00000","0.02965","0.00001"
"0.00800","0.00000","0.02999","0.00001"
"0.00900","0.00000","0.03043","0.00001"
"0.01000","0.00000","0.03059","0.00001"
"0.01100","0.00000","0.03026","0.00001"
"0.01200","0.00000","0.02935","0.00001"
"0.01300","0.00000","0.02751","0.00001"
"0.01400","0.00000","0.02428","0.00001"
"0.01500","0.00000","0.01953","0.00001"
"0.01600","0.00000","0.01355","0.00001"
"0.01700","0.00000","0.00678","0.00001"
"0.01800","0.00000","-0.00015","0.00001"
"0.01900","0.00000","-0.00668","0.00001"
"0.02000","0.00000","-0.01248","0.00001"
"0.02100","0.00001","-0.01715","0.00001"
"0.02200","0.00001","-0.02025","0.00001"
"0.02300","0.00001","-0.02200","0.00001"
"0.02400","0.00001","-0.02294","0.00001"
"0.02500","0.00001","-0.02354","0.00001"
"0.02600","0.00002","-0.02424","0.00001"
"0.02700","0.00002","-0.02537","0.00001"
"0.02800","0.00003","-0.02710","0.00001"
"0.02900","0.00003","-0.02918","0.00001"
"0.03000","0.00004","-0.03104","0.00001"
"0.03100","0.00004","-0.03223","0.00001"
"0.03200","0.00005","-0.03283","0.00001"
"0.03300","0.00005","-0.03339","0.00001"
"0.03400","0.00006","-0.03442","0.00001"
"0.03500","0.00007","-0.03620","0.00001"
"0.03600","0.00008","-0.03894","0.00001"
"0.03700","0.00009","-0.04261","0.00001"
"0.03800","0.00010","-0.04667","0.00001"
"0.03900","0.00011","-0.05054","0.00001"
"0.04000","0.00012","-0.05390","0.00001"
"0.04100","0.00013","-0.05656","0.00001"
"0.04200","0.00015","-0.05823","0.00001"
"0.04300","0.00016","-0.05852","0.00001"
"0.04400","0.00018","-0.05731","0.00001"
"0.04500","0.00019","-0.05479","0.00001"
"0.04600","0.00021","-0.05132","0.00001"
"0.04700","0.00023","-0.04722","0.00001"
"0.04800","0.00025","-0.04259","0.00001"
"0.04900","0.00027","-0.03755","0.00001"
"0.05000","0.00029","-0.03229","0.00001"
"0.05100","0.00031","-0.02706","0.00001"
"0.05200","0.00034","-0.02203","0.00001"
"0.05300","0.00036","-0.01721","0.00001"
"0.05400","0.00039","-0.01244","0.00001"
"0.05500","0.00042","-0.00757","0.00001"
"0.05600","0.00045","-0.00266","0.00001"
"0.05700","0.00048","0.00205","0.00001"
"0.05800","0.00051","0.00648","0.00001"
"0.05900","0.00054","0.01091","0.00001"
"0.06000","0.00058","0.01557","0.00001"
"0.06100","0.00062","0.02015","0.00001"
"0.06200","0.00066","0.02416","0.00001"
"0.06300","0.00070","0.02756","0.00001"
"0.06400","0.00074","0.03056","0.00001"
"0.06500","0.00079","0.03333","0.00001"
"0.06600","0.00084","0.03609","0.00001"
"0.06700","0.00089","0.03906","0.00001"
"0.06800","0.00094","0.04230","0.00001"
"0.06900","0.00099","0.04558","0.00001"
"0.07000","0.00105","0.04841","0.00001"
"0.07100","0.00111","0.05041","0.00001"
"0.07200","0.00117","0.05140","0.00001"
"0.07300","0.00123","0.05143","0.00001"
"0.07400","0.00130","0.05070","0.00001"
"0.07500","0.00136","0.04958","0.00001"
"0.07600","0.00143","0.04828","0.00001"
"0.07700","0.00150","0.04660","0.00001"
"0.07800","0.00157","0.04426","0.00001"
"0.07900","0.00164","0.04114","0.00001"
"0.08000","0.00171","0.03733","0.00001"
"0.08100","0.00178","0.03326","0.00001"
"0.08200","0.00185","0.02957","0.00001"
"0.08300","0.00192","0.02686","0.00001"
"0.08400","0.00200","0.02539","0.00001"
"0.08500","0.00207","0.02471","0.00001"
"0.08600","0.00214","0.02389","0.00001"
"0.08700","0.00221","0.02209","0.00001"
"0.08800","0.00228","0.01898","0.00001"
"0.08900","0.00234","0.01486","0.00001"
"0.09000","0.00241","0.01041","0.00001"
"0.09100","0.00247","0.00646","0.00001"
"0.09200","0.00254","0.00338","0.00001"
"0.09300","0.00260","0.00106","0.00001"
"0.09400","0.00266","-0.00048","0.00001"
"0.09500","0.00272","-0.00102","0.00001"
"0.09600","0.00278","-0.00047","0.00001"
"0.09700","0.00283","0.00104","0.00001"
"0.09800","0.00289","0.00326","0.00001"
"0.09900","0.00294","0.00589","0.00001"
"0.10000","0.00299","0.00800","0.00001"
"0.10100","0.00304","0.00837","0.00001"
"0.10200","0.00309","0.00656","0.00001"
"0.10300","0.00313","0.00296","0.00001"
"0.10400","0.00318","-0.00185","0.00001"
"0.10500","0.00322","-0.00722","0.00001"
"0.10600","0.00326","-0.01245","0.00001"
"0.10700","0.00330","-0.01703","0.00001"
"0.10800","0.00334","-0.02086","0.00001"
"0.10900","0.00338","-0.02401","0.00001"
"0.11000","0.00342","-0.02632","0.00001"
"0.11100","0.00346","-0.02714","0.00001"
"0.11200","0.00349","-0.02580","0.00001"
"0.11300","0.00353","-0.02246","0.00001"
"0.11400","0.00357","-0.01817","0.00001"
"0.11500","0.00360","-0.01395","0.00001"
"0.11600","0.00364","-0.01051","0.00001"
"0.11700","0.00368","-0.00817","0.00001"
"0.11800","0.00371","-0.00679","0.00001"
"0.11900","0.00375","-0.00572","0.00001"
"0.12000","0.00379","-0.00441","0.00001"
"0.12100","0.00383","-0.00272","0.00001"
"0.12200","0.00387","-0.00051","0.00001"
"0.12300","0.00391","0.00241","0.00001"
"0.12400","0.00395","0.00598","0.00001"
"0.12500","0.00399","0.00986","0.00001"
"0.12600","0.00404","0.01354","0.00001"
"0.12700","0.00408","0.01649","0.00001"
"0.12800","0.00413","0.01846","0.00001"
