Time,Extension,Load,Strain Gage18
(s),(mm),(N),(mm/mm)
"0.00000","0.00000","-0.05626","0.00000"
"0.50000","0.08980","-0.04689","0.00000"
"1.00000","0.18989","-0.00060","0.00000"
"1.50000","0.28972","0.02266","0.00000"
"2.00000","0.38987","0.06799","0.00000"
"2.50000","0.48986","-0.05098","0.00000"
"3.00000","0.58975","0.03261","0.00000"
"3.50000","0.68981","0.01079","0.00000"
"4.00000","0.78989","0.04108","0.00000"
"4.50000","0.88972","0.13642","0.00000"
"5.00000","0.98988","0.16431","-0.00001"
"5.50000","1.08981","0.13884","-0.00001"
"6.00000","1.18971","0.09328","-0.00001"
"6.50000","1.28994","0.05405","-0.00001"
"7.00000","1.38983","0.16690","-0.00001"
"7.50000","1.48969","0.15100","-0.00001"
"8.00000","1.58993","0.18470","-0.00001"
"8.50000","1.68980","0.24731","-0.00001"
"9.00000","1.78975","0.18958","-0.00001"
"9.50000","1.88991","0.16294","-0.00001"
"10.00000","1.98982","0.30192","-0.00001"
"10.50000","2.08969","0.36959","-0.00002"
"11.00000","2.18991","0.26269","-0.00002"
"11.50000","2.28979","0.29803","-0.00002"
"12.00000","2.38973","0.38726","-0.00002"
"12.50000","2.48995","0.41062","-0.00002"
"13.00000","2.58977","0.38702","-0.00002"
"13.50000","2.68978","0.36499","-0.00002"
"14.00000","2.78994","0.35110","-0.00002"
"14.50000","2.88975","0.35529","-0.00002"
"15.00000","2.98979","0.44945","-0.00002"
"15.50000","3.08992","0.45257","-0.00002"
"16.00000","3.18975","0.39447","-0.00003"
"16.50000","3.28978","0.53214","-0.00003"
"17.00000","3.38996","0.53589","-0.00003"
"17.50000","3.48973","0.47495","-0.00003"
"18.00000","3.58978","0.47512","-0.00003"
"18.50000","3.68998","0.50522","-0.00003"
"19.00000","3.78974","0.59804","-0.00003"
"19.50000","3.88980","0.52148","-0.00003"
"20.00000","3.98995","0.54221","-0.00003"
"20.50000","4.08973","0.48580","-0.00003"
"21.00000","4.18980","0.66555","-0.00003"
"21.50000","4.28992","0.54982","-0.00004"
"22.00000","4.38974","0.63247","-0.00004"
"22.50000","4.48983","0.73389","-0.00004"
"23.00000","4.58990","0.63218","-0.00004"
"23.50000","4.68964","0.74822","-0.00004"
"24.00000","4.78984","0.66965","-0.00004"
"24.50000","4.88992","0.69110","-0.00004"
"25.00000","4.98973","0.76845","-0.00004"
"25.50000","5.08983","0.67377","-0.00004"
"26.00000","5.18988","0.74479","-0.00004"
"26.50000","5.28970","0.80826","-0.00005"
"27.00000","5.38986","0.83808","-0.00005"
"27.50000","5.48985","0.86217","-0.00005"
"28.00000","5.58971","0.80447","-0.00005"
"28.50000","5.68987","1.02335","-0.00005"
"29.00000","5.78987","0.85431","-0.00005"
"29.50000","5.88970","0.84860","-0.00005"
"30.00000","5.98991","0.87009","-0.00005"
"30.50000","6.08978","0.93372","-0.00005"
"31.00000","6.18972","1.02137","-0.00005"
"31.50000","6.28981","0.88816","-0.00005"
"32.00000","6.38982","0.99725","-0.00006"
"32.50000","6.48970","1.05320","-0.00006"
"33.00000","6.58993","0.97540","-0.00006"
"33.50000","6.68975","1.04309","-0.00006"
"34.00000","6.78976","1.09561","-0.00006"
"34.50000","6.88993","1.13687","-0.00006"
"35.00000","6.98977","1.11975","-0.00006"
"35.50000","7.08976","1.07805","-0.00006"
"36.00000","7.18994","1.20914","-0.00006"
"36.50000","7.28975","1.08291","-0.00006"
"37.00000","7.38974","1.25876","-0.00006"
"37.50000","7.48991","1.13783","-0.00007"
"38.00000","7.58975","1.21350","-0.00007"
"38.50000","7.68972","1.14563","-0.00007"
"39.00000","7.79001","1.17242","-0.00007"
"39.50000","7.88972","1.30042","-0.00007"
"40.00000","7.98981","1.24571","-0.00007"
"40.50000","8.08995","1.31379","-0.00007"
"41.00000","8.18975","1.20342","-0.00007"
"41.50000","8.28978","1.31599","-0.00007"
"42.00000","8.38994","1.33186","-0.00007"
"42.50000","8.48975","1.28131","-0.00008"
"43.00000","8.58982","1.36566","-0.00008"
"43.50000","8.68994","1.26231","-0.00008"
"44.00000","8.78973","1.31424","-0.00008"
"44.50000","8.88981","1.28443","-0.00008"
"45.00000","8.98994","1.48267","-0.00008"
"45.50000","9.08972","1.23161","-0.00008"
"46.00000","9.18986","1.36236","-0.00008"
"46.50000","9.28991","1.41192","-0.00008"
"47.00000","9.38977","1.34341","-0.00008"
"47.50000","9.48979","1.44294","-0.00008"
"48.00000","9.58991","1.50591","-0.00009"
"48.50000","9.68972","1.46023","-0.00009"
"49.00000","9.78987","1.41964","-0.00009"
"49.50000","9.88983","1.47808","-0.00009"
"50.00000","9.98974","1.54908","-0.00009"
"50.50000","10.08985","1.54264","-0.00009"
"51.00000","10.18988","1.50077","-0.00009"
"51.50000","10.28967","1.55685","-0.00009"
"52.00000","10.38987","1.58192","-0.00009"
"52.50000","10.48979","1.55010","-0.00009"
"53.00000","10.58971","1.62446","-0.00009"
"53.50000","10.68993","1.67327","-0.00010"
"54.00000","10.78978","1.67750","-0.00010"
"54.50000","10.88974","1.84751","-0.00010"
"55.00000","10.98996","1.73142","-0.00010"
"55.50000","11.08976","1.80390","-0.00010"
"56.00000","11.18976","1.77591","-0.00010"
"56.50000","11.28994","1.69795","-0.00010"
"57.00000","11.38979","1.84339","-0.00010"
"57.50000","11.48975","1.73655","-0.00010"
"58.00000","11.58993","1.87432","-0.00010"
"58.50000","11.68974","1.84808","-0.00011"
"59.00000","11.78972","1.81532","-0.00011"
"59.50000","11.88996","1.89217","-0.00011"
"60.00000","11.98976","1.82511","-0.00011"
"60.50000","12.08978","1.87759","-0.00011"
"61.00000","12.18995","1.93020","-0.00011"
"61.50000","12.28977","1.84097","-0.00011"
"62.00000","12.38980","1.95501","-0.00011"
"62.50000","12.48997","1.92423","-0.00011"
"63.00000","12.58972","1.94409","-0.00011"
"63.50000","12.68977","2.08850","-0.00011"
"64.00000","12.78996","1.99385","-0.00012"
"64.50000","12.88974","2.05292","-0.00012"
"65.00000","12.98979","2.04981","-0.00012"
"65.50000","13.08997","2.11187","-0.00012"
"66.00000","13.18972","2.05500","-0.00012"
"66.50000","13.28983","2.13781","-0.00012"
"67.00000","13.38993","2.05308","-0.00012"
"67.50000","13.48975","2.04434","-0.00012"
"68.00000","13.58979","2.15701","-0.00012"
"68.50000","13.68992","2.19751","-0.00012"
"69.00000","13.78973","2.07318","-0.00012"
"69.50000","13.88985","2.19955","-0.00013"
"70.00000","13.98988","2.22520","-0.00013"
"70.50000","14.08975","2.27644","-0.00013"
"71.00000","14.18983","2.22360","-0.00013"
"71.50000","14.28989","2.18952","-0.00013"
"72.00000","14.38973","2.18338","-0.00013"
"72.50000","14.48985","2.22560","-0.00013"
"73.00000","14.58983","2.26587","-0.00013"
"73.50000","14.68971","2.33375","-0.00013"
"74.00000","14.78988","2.37452","-0.00013"
"74.50000","14.88982","2.25150","-0.00013"
"75.00000","14.98970","2.36176","-0.00014"
"75.50000","15.08992","2.32896","-0.00014"
"76.00000","15.18980","2.46738","-0.00014"
"76.50000","15.28971","2.30863","-0.00014"
"77.00000","15.38994","2.49171","-0.00014"
"77.50000","15.48982","2.43563","-0.00014"
"78.00000","15.58971","2.53768","-0.00014"
"78.50000","15.68989","2.46129","-0.00014"
"79.00000","15.78976","2.50088","-0.00014"
"79.50000","15.88973","2.48296","-0.00014"
