Time,Extension,Load,Strain Gage18
(s),(mm),(N),(mm/mm)
"0.00000","0.00000","-0.09613","0.00000"
"0.50000","0.08973","-0.08641","0.00000"
"1.00000","0.18981","-0.04431","0.00000"
"1.50000","0.28964","-0.05929","0.00000"
"2.00000","0.38979","-0.08806","0.00000"
"2.50000","0.48977","0.07006","0.00000"
"3.00000","0.58966","0.04283","0.00000"
"3.50000","0.68973","0.02742","0.00000"
"4.00000","0.78981","0.00210","0.00001"
"4.50000","0.88964","0.00093","0.00001"
"5.00000","0.98980","0.14295","0.00001"
"5.50000","1.08972","-0.03171","0.00001"
"6.00000","1.18964","0.13828","0.00001"
"6.50000","1.28985","0.20683","0.00001"
"7.00000","1.38975","0.13566","0.00001"
"7.50000","1.48962","0.10279","0.00002"
"8.00000","1.58984","0.12735","0.00002"
"8.50000","1.68973","0.10282","0.00002"
"9.00000","1.78965","0.25237","0.00002"
"9.50000","1.88983","0.31838","0.00002"
"10.00000","1.98973","0.18997","0.00002"
"10.50000","2.08959","0.17474","0.00002"
"11.00000","2.18984","0.22382","0.00002"
"11.50000","2.28970","0.23917","0.00002"
"12.00000","2.38964","0.40820","0.00003"
"12.50000","2.48986","0.19286","0.00003"
"13.00000","2.58970","0.39842","0.00003"
"13.50000","2.68969","0.28873","0.00003"
"14.00000","2.78986","0.32842","0.00003"
"14.50000","2.88966","0.43739","0.00003"
"15.00000","2.98969","0.40079","0.00003"
"15.50000","3.08984","0.37447","0.00003"
"16.00000","3.18965","0.36425","0.00004"
"16.50000","3.28969","0.44077","0.00004"
"17.00000","3.38987","0.42835","0.00004"
"17.50000","3.48965","0.41894","0.00004"
"18.00000","3.58970","0.46047","0.00004"
"18.50000","3.68990","0.55168","0.00004"
"19.00000","3.78965","0.54654","0.00004"
"19.50000","3.88972","0.52846","0.00004"
"20.00000","3.98986","0.50327","0.00005"
"20.50000","4.08965","0.53456","0.00005"
"21.00000","4.18973","0.55337","0.00005"
"21.50000","4.28983","0.53360","0.00005"
"22.00000","4.38964","0.57376","0.00005"
"22.50000","4.48977","0.57195","0.00005"
"23.00000","4.58980","0.57297","0.00005"
"23.50000","4.68958","0.63864","0.00005"
"24.00000","4.78976","0.72362","0.00006"
"24.50000","4.88982","0.71425","0.00006"
"25.00000","4.98964","0.70422","0.00006"
"25.50000","5.08976","0.60281","0.00006"
"26.00000","5.18980","0.72942","0.00006"
"26.50000","5.28960","0.76767","0.00006"
"27.00000","5.38979","0.75999","0.00006"
"27.50000","5.48978","0.83792","0.00007"
"28.00000","5.58963","0.89928","0.00007"
"28.50000","5.68979","0.79116","0.00007"
"29.00000","5.78978","0.80203","0.00007"
"29.50000","5.88961","0.89086","0.00007"
"30.00000","5.98982","0.91167","0.00007"
"30.50000","6.08969","0.90541","0.00007"
"31.00000","6.18964","0.92146","0.00007"
"31.50000","6.28974","0.96721","0.00008"
"32.00000","6.38973","1.08364","0.00008"
"32.50000","6.48962","1.03060","0.00008"
"33.00000","6.58987","1.05998","0.00008"
"33.50000","6.68968","0.91284","0.00008"
"34.00000","6.78968","1.02972","0.00008"
"34.50000","6.88983","1.04760","0.00008"
"35.00000","6.98969","1.14206","0.00008"
"35.50000","7.08967","1.18052","0.00009"
"36.00000","7.18986","1.10363","0.00009"
"36.50000","7.28967","1.13208","0.00009"
"37.00000","7.38964","1.16526","0.00009"
"37.50000","7.48983","1.16361","0.00009"
"38.00000","7.58968","1.30688","0.00009"
"38.50000","7.68964","1.22230","0.00009"
"39.00000","7.78993","1.20885","0.00009"
"39.50000","7.88966","1.10037","0.00009"
"40.00000","7.98972","1.22116","0.00010"
"40.50000","8.08986","1.33892","0.00010"
"41.00000","8.18965","1.19159","0.00010"
"41.50000","8.28969","1.39476","0.00010"
"42.00000","8.38986","1.37191","0.00010"
"42.50000","8.48966","1.42171","0.00010"
"43.00000","8.58974","1.33066","0.00010"
"43.50000","8.68984","1.30155","0.00011"
"44.00000","8.78963","1.37013","0.00011"
"44.50000","8.88974","1.37530","0.00011"
"45.00000","8.98985","1.38377","0.00011"
"45.50000","9.08962","1.32408","0.00011"
"46.00000","9.18981","1.45569","0.00011"
"46.50000","9.28981","1.31678","0.00011"
"47.00000","9.38967","1.37811","0.00011"
"47.50000","9.48972","1.42970","0.00012"
"48.00000","9.58982","1.41928","0.00012"
"48.50000","9.68962","1.39509","0.00012"
"49.00000","9.78979","1.43330","0.00012"
"49.50000","9.88975","1.55806","0.00012"
"50.00000","9.98967","1.48176","0.00012"
"50.50000","10.08977","1.52658","0.00012"
"51.00000","10.18979","1.53313","0.00012"
"51.50000","10.28959","1.66797","0.00013"
"52.00000","10.38980","1.65482","0.00013"
"52.50000","10.48973","1.67360","0.00013"
"53.00000","10.58963","1.52175","0.00013"
"53.50000","10.68985","1.63642","0.00013"
"54.00000","10.78971","1.89536","0.00013"
"54.50000","10.88965","1.77310","0.00013"
"55.00000","10.98987","1.86831","0.00013"
"55.50000","11.08968","1.83923","0.00014"
"56.00000","11.18968","1.84349","0.00014"
"56.50000","11.28985","1.85852","0.00014"
"57.00000","11.38971","1.84474","0.00014"
"57.50000","11.48963","1.82053","0.00014"
"58.00000","11.58985","1.77762","0.00014"
"58.50000","11.68967","1.82958","0.00014"
"59.00000","11.78964","1.79037","0.00015"
"59.50000","11.88990","1.94826","0.00015"
"60.00000","11.98969","1.88275","0.00015"
"60.50000","12.08972","1.89313","0.00015"
"61.00000","12.18985","1.87682","0.00015"
"61.50000","12.28968","1.89922","0.00015"
"62.00000","12.38971","2.00147","0.00015"
"62.50000","12.48988","2.03971","0.00015"
"63.00000","12.58964","2.07437","0.00015"
"63.50000","12.68971","2.04915","0.00016"
